"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"823",964,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,0,0,"Rhinolophus affinis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"urine","China","N","Yunnan","Mangshi ","NA","NA","2012","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","urinary","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus affinis","Rhinolophus affinis","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","652","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china",0.153138684584835,0.0238095238095238,0,"Rhinolophus affinis","Rhinolophus affinis","RHINOLOPHIDAE"
"824",965,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,0,0,"Rhinolophus affinis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","Mangshi ","NA","NA","2012","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus affinis","Rhinolophus affinis","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","653","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china",0.153138684584835,0.0238095238095238,0,"Rhinolophus affinis","Rhinolophus affinis","RHINOLOPHIDAE"
"825",966,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,0,0,"Rhinolophus pusillus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"urine","China","N","Yunnan","Mangshi ","NA","NA","2012","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","urinary","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus pusillus","Rhinolophus pusillus","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","654","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china",0.153138684584835,0.0238095238095238,0,"Rhinolophus pusillus","Rhinolophus pusillus","RHINOLOPHIDAE"
"828",968,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,0,0,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"urine","China","N","Yunnan","Mangshi ","NA","NA","2012","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","urinary","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Myotis daubentonii","Myotis daubentonii","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","655","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china",0.153138684584835,0.0238095238095238,0,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"829",969,"discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,10,0,0,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","Mangshi ","NA","NA","2012","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Myotis daubentonii","Myotis daubentonii","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","656","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china",0.153138684584835,0.0238095238095238,0,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"843",995,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,212,0,0,"Eidolon helvum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kumasi","Zoo Kumasi ","1°37""29.9""W","6°42'2.0""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",6.70055555555556,-1.62497222222222,"No","No","PCR","genus not specified",1,"Eidolon helvum","Eidolon helvum","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","657","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.0342862993548316,0.00117647058823529,0,"Eidolon helvum","Eidolon helvum","PTEROPODIDAE"
"844",996,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,1,0,0,"Pipistrellus nanulus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kumasi","KNUST Botanical Garden Kumasi","1°33'42.8""W","6°41'6.4""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",6.68511111111111,-1.56188888888889,"No","No","PCR","genus not specified",1,"Pipistrellus nanulus","Pipistrellus nanulus","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","658","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.392699081698724,0.166666666666667,0,"Pipistrellus nanulus","Pipistrellus nanulus","VESPERTILIONIDAE"
"845",997,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,1,0,0,"Glauconycteris beatrix","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kumasi","KNUST Botanical Garden Kumasi","1°33'42.8""W","6°41'6.4""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",6.68511111111111,-1.56188888888889,"No","No","PCR","genus not specified",1,"Glauconycteris beatrix","Glauconycteris beatrix","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","659","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.392699081698724,0.166666666666667,0,"Glauconycteris beatrix","Glauconycteris beatrix","VESPERTILIONIDAE"
"847",999,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,1,0,0,"Nycteris hispida","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Bosumtwi","Lake Bosumtwi ","1°24'41.5""W","6°32'22.3""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",6.53952777777778,-1.41152777777778,"No","No","PCR","genus not specified",1,"Nycteris hispida","Nycteris hispida","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","660","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.392699081698724,0.166666666666667,0,"Nycteris hispida","Nycteris hispida","NYCTERIDAE"
"848",1000,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,5,0,0,"Pipistrellus nanus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Bosumtwi","Lake Bosumtwi ","1°24'41.5""W","6°32'22.3""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",6.53952777777778,-1.41152777777778,"No","No","PCR","genus not specified",1,"Neoromicia nana","Neoromicia nana","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","661","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.210267167641983,0.0454545454545455,0,"Neoromicia nana","Neoromicia nana","VESPERTILIONIDAE"
"849",1001,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,1,0,0,"Pipistrellus deserti","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Bosumtwi","Lake Bosumtwi ","1°24'41.5""W","6°32'22.3""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",6.53952777777778,-1.41152777777778,"No","No","PCR","genus not specified",1,"Pipistrellus deserti","Pipistrellus deserti","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","662","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.392699081698724,0.166666666666667,0,"Pipistrellus deserti","Pipistrellus deserti","VESPERTILIONIDAE"
"852",1003,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,13,0,0,"Hipposideros abae","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Kwamang","Cave Kwamang","1°16'W","6°58'N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/25/2022 1:05pm","faecal, rectal, or anal","0","0","1","0",6.96666666666667,-1.26666666666667,"No","No","PCR","genus not specified",1,"Hipposideros abae","Hipposideros abae","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","663","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.135274881489286,0.0185185185185185,0,"Hipposideros abae","Hipposideros abae","HIPPOSIDERIDAE"
"853",1004,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,8,0,0,"Hipposideros caffer ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem A"," 1°59'16.5""W","7°43'24.9""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",7.72358333333333,-1.98791666666667,"No","No","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","664","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.169918454727061,0.0294117647058824,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"854",1005,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,12,0,0,"Coleura afra","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem A"," 1°59'16.5""W","7°43'24.9""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",7.72358333333333,-1.98791666666667,"No","No","PCR","genus not specified",1,"Coleura afra","Coleura afra","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","665","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.140517450751407,0.02,0,"Coleura afra","Coleura afra","EMBALLONURIDAE"
"857",1007,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,3,0,0,"Hipposideros abae","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem B","1°59'33.5""W","7°43'25.7""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",7.72380555555556,-1.99263888888889,"No","No","PCR","genus not specified",1,"Hipposideros abae","Hipposideros abae","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","666","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.261799387799149,0.0714285714285714,0,"Hipposideros abae","Hipposideros abae","HIPPOSIDERIDAE"
"858",1008,"distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,21,0,0,"Coleura afra","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Ghana","N","Booyem, Brong-Ahafo","Cave Booyem B","1°59'33.5""W","7°43'25.7""N","2008","","",NA,"","February","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:17pm","faecal, rectal, or anal","0","0","1","0",7.72380555555556,-1.99263888888889,"No","No","PCR","genus not specified",1,"Coleura afra","Coleura afra","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","667","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana",0.107424916537856,0.0116279069767442,0,"Coleura afra","Coleura afra","EMBALLONURIDAE"
