"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"1009",1149,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,32,0,0,"Eptesicus bottae","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus bottae","Eptesicus bottae","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1010",1150,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Pipistrellus kuhlii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus kuhlii","Pipistrellus kuhlii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1011",1151,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,1,0,0,"Pipistrellus kuhlii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus kuhlii","Pipistrellus kuhlii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1014",1153,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,203,0,0,"Taphozous perforates","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Bisha","Bisha Ruins","NA","NA","2013","","",NA,"","April","Spring",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","0","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Taphozous perforatus","Taphozous perforatus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1015",1154,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,9,0,0,"Pipistrellus kuhlii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Unaizah","Greater Unaizah area","NA","NA","2013","","",NA,"","April","Spring",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","0","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus kuhlii","Pipistrellus kuhlii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1017",1156,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,5,0,0,"Pipistrellus kuhlii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"throat swab","Saudi Arabia","N","Riyadh","Greater Riyadh area","NA","NA","2013","","",NA,"","April","Spring",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","0","0","0","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus kuhlii","Pipistrellus kuhlii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1024",1168,"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,45,0,0,"Eidolon helvum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","Kenya","N","Kisumu","","NA","NA","","2012","November",2015,"November","","Year",NA,"N","Y, high level of human-bat interaction","Y, Astroviruses, Calicivirus, Coronavirus, Paramyxovirus, Rotavirus","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eidolon helvum","Eidolon helvum","molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses"
"1025",1169,"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,75,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","Kenya","N","Trans-Nzoia","","NA","NA","","2012","November",2015,"November","","Year",NA,"N","Y, high level of human-bat interaction","Y, Astroviruses, Calicivirus, Coronavirus, Paramyxovirus, Rotavirus","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses"
"1026",1174,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,2,0,0,"Cynopterus sphinx","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Cynopterus sphinx","Cynopterus sphinx","molecular diversity of coronaviruses in bats"
"1027",1175,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,13,0,0,"Hipposideros armiger","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Hipposideros armiger","Hipposideros armiger","molecular diversity of coronaviruses in bats"
"1028",1176,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,18,0,0,"Hipposideros pomona","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Hipposideros pomona","Hipposideros pomona","molecular diversity of coronaviruses in bats"
"1031",1179,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,8,0,0,"Myotis chinensis","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis chinensis","Myotis chinensis","molecular diversity of coronaviruses in bats"
"1033",1181,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,7,0,0,"Nyctalus noctula","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Nyctalus noctula","Nyctalus noctula","molecular diversity of coronaviruses in bats"
"1035",1183,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,7,0,0,"Rhinolophus affiinus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus affinis","Rhinolophus affinis","molecular diversity of coronaviruses in bats"
"1038",1185,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,2,0,0,"Rousettus lechenaulti","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rousettus leschenaultii","Rousettus leschenaultii","molecular diversity of coronaviruses in bats"
"1040",1187,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,2,0,0,"Rhinolophus mehelyi","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus mehelyi","Rhinolophus mehelyi","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1041",1188,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,2,0,0,"Rhinolophus mehelyi","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus mehelyi","Rhinolophus mehelyi","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1042",1189,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,3,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta), Galleria Casteldoria (S.M Coghinas), Diga S. Chiara (Ula-Tirso)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1043",1190,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,3,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta), Galleria Casteldoria (S.M Coghinas), Diga S. Chiara (Ula-Tirso)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1045",1192,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,9,0,0,"Miniopterus schreibersii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Miniopterus schreibersii","Miniopterus schreibersii","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1046",1193,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,7,0,0,"Miniopterus schreibersii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Miniopterus schreibersii","Miniopterus schreibersii","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1047",1194,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,8,0,0,"Myotis punicus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"skin swab","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta), Galleria Casteldoria (S.M Coghinas), Tilipera (Bonorva)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","skin swab","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis punicus","Myotis punicus","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1048",1195,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,8,0,0,"Myotis punicus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"oral swab","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta), Galleria Casteldoria (S.M Coghinas), Tilipera (Bonorva)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis punicus","Myotis punicus","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
"1049",1196,"molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,6,0,0,"Myotis punicus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Sardinia","Grotta sa Rocca Ulari (Borutta), Galleria Casteldoria (S.M Coghinas), Tilipera (Bonorva)","NA","NA","","2015","November",2016,"November","","Year",NA,"Y, unclear","Y,  caves, buildings, tunnels, woods, abandoned bridges, and other type of natural roosts","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis punicus","Myotis punicus","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny"
