title,author,journal,year,doi,ID,study,source,exclude_title,exclude_reason,include,entered
middle east respiratory syndrome coronavirus (mers-cov): evidence and speculations,Abdel-moneim,Arch Virol,2014,10.1007/s00705-014-1995-5,624,Abdel-moneim 2014 Arch Virol,PubMed,,,,
middle east respiratory syndrome coronavirus and bat coronavirus hku9 both can utilize grp78 for attachment onto host cells,Chu et al.,J Biol Chem,2018,10.1074/jbc.RA118.001897,625,Chu et al. 2018 J Biol Chem,PubMed,,,,
"middle east respiratory syndrome coronavirus in bats, saudi arabia",Memish et al.,Emerg Infect Dis,2013,10.3201/eid1911.131172,626,Memish et al. 2013 Emerg Infect Dis,PubMed,,,,
middle east respiratory syndrome coronavirus ns4b protein inhibits host rnase l activation,Thornbrough et al.,Mbio,2016,10.1128/mBio.00258-16,627,Thornbrough et al. 2016 Mbio,PubMed,,,,
middle east respiratory syndrome coronavirus: a comprehensive review,Shehata et al.,Front Med,2016,10.1007/s11684-016-0430-6,628,Shehata et al. 2016 Front Med,PubMed,,,,
middle east respiratory syndrome coronavirus: another zoonotic betacoronavirus causing sars-like disease,Chan et al.,Clinical Microbiology Reviews,2015,10.1128/CMR.00102-14,629,Chan et al. 2015 Clinical Microbiology Reviews,WOS,,,,
middle east respiratory syndrome: an emerging coronavirus infection tracked by the crowd,Mackay & Arden,Virus Res,2015,10.1016/j.virusres.2015.01.021,630,Mackay & Arden 2015 Virus Res,PubMed,,,,
middle east respiratory syndrome: emergence of a pathogenic human coronavirus,Fehr et al.,Annu Rev Med,2017,10.1146/annurev-med-051215-031152,631,Fehr et al. 2017 Annu Rev Med,PubMed,,,,
mites (acari),Bates,,2012,10.1079/9781845936648.0015,632,Bates 2012 ,CAB,,,,
"modeling of the interactions between forest vegetation, disturbances, and sediment yields",Istanbulluoglu et al.,Journal of Geophysical Research-earth Surface,2004,10.1029/2003JF000041,633,Istanbulluoglu et al. 2004 Journal of Geophysical Research-earth Surface,WOS,,,,
modeling the dynamics of novel coronavirus (2019-ncov) with fractional derivative,Khan & Atangana,Alexandria Engineering Journal,2020,10.1016/j.aej.2020.02.033,634,Khan & Atangana 2020 Alexandria Engineering Journal,WOS,,,,
modelling scenarios of the epidemic of covid-19 in canada,Ogden et al.,Canada Communicable Disease Report,2020,,635,Ogden et al. 2020 Canada Communicable Disease Report,CAB,,,,
molecular aspects of mers-cov,Rabaan et al.,Front Med,2017,10.1007/s11684-017-0521-z,636,Rabaan et al. 2017 Front Med,PubMed,,,,
molecular basis of binding between middle east respiratory syndrome coronavirus and cd26 from seven bat species,Yuan et al.,J Virol,2020,10.1128/JVI.01387-19,637,Yuan et al. 2020 J Virol,PubMed,,,,
molecular characterisation of the national collection of swiss cherry cultivars,Frei et al.,Journal of Horticultural Science & Biotechnology,2010,10.1080/14620316.2010.11512668,638,Frei et al. 2010 Journal of Horticultural Science & Biotechnology,WOS,,,,
"molecular characterization of rig-i, stat-1 and ifn-beta in the horseshoe bat",Li et al.,Gene,2015,10.1016/j.gene.2015.02.013,639,Li et al. 2015 Gene,WOS,,,,
molecular conservation and differential mutation on orf3a gene in indian sars-cov2 genomes,Hassan et al.,Genomics,2020,10.1016/j.ygeno.2020.06.016,640,Hassan et al. 2020 Genomics,PubMed,,,,
"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses",Waruhiu et al.,Virol Sin,2017,10.1007/s12250-016-3930-2,641,Waruhiu et al. 2017 Virol Sin,PubMed,,,,
molecular diversity of coronaviruses in bats,Woo et al.,Virology,2006,10.1016/j.virol.2006.02.041,642,Woo et al. 2006 Virology,PubMed,,,,
"molecular epidemiology, evolution and phylogeny of sars coronavirus",Luk et al.,Infect Genet Evol,2019,10.1016/j.meegid.2019.03.001,643,Luk et al. 2019 Infect Genet Evol,PubMed,,,,
molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny,Lecis et al.,Virus Genes,2019,10.1007/s11262-018-1614-8,644,Lecis et al. 2019 Virus Genes,PubMed,,,,
molecular surveillance of traditional and emerging pathogens associated with canine infectious respiratory disease,Decaro et al.,Vet Microbiol,2016,10.1016/j.vetmic.2016.06.009,645,Decaro et al. 2016 Vet Microbiol,PubMed,,,,
"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses",Kemenesi et al.,Vector Borne Zoonotic Dis,2014,10.1089/vbz.2014.1637,646,Kemenesi et al. 2014 Vector Borne Zoonotic Dis,PubMed,,,,
more invaders do not result in heavier impacts: the effects of non-native bullfrogs on native anurans are mitigated by high densities of non-native crayfish,Liu et al.,Journal of Animal Ecology,2018,10.1111/1365-2656.12793,647,Liu et al. 2018 Journal of Animal Ecology,WOS,,,,
more novel hantaviruses and diversifying reservoir hosts time for development of reservoir-derived cell culture models?,Eckerle et al.,Viruses-basel,2014,10.3390/v6030951,648,Eckerle et al. 2014 Viruses-basel,WOS,,,,
movement responses of common noctule bats to the illuminated urban landscape,Voigt et al.,Landscape Ecology,2020,10.1007/s10980-019-00942-4,649,Voigt et al. 2020 Landscape Ecology,WOS,,,,
muc5b is mainly expressed and sialylated in the nasal olfactory epithelium whereas muc5ac is exclusively expressed and fucosylated in the nasal respiratory epithelium,Amini et al.,Histochemistry and Cell Biology,2019,10.1007/s00418-019-01785-5,650,Amini et al. 2019 Histochemistry and Cell Biology,WOS,,,,
multi-scale assessment of male northern yellow bat roost selection,Castleberry et al.,Journal of Wildlife Management,2020,10.1002/jwmg.21843,651,Castleberry et al. 2020 Journal of Wildlife Management,WOS,,,,
murine coronavirus ubiquitin-like domain is important for papain-like protease stability and viral pathogenesis,Mielech et al.,Journal of Virology,2015,10.1128/JVI.00338-15,652,Mielech et al. 2015 Journal of Virology,WOS,,,,
"mutation patterns of human sars-cov-2 and bat ratg13 coronavirus genomes are strongly biased towards c>u transitions, indicating rapid evolution in their hosts",Matyášek & Kovařík,Genes (basel),2020,10.3390/genes11070761,653,Matyášek & Kovařík 2020 Genes (basel),PubMed,,,,
natural history of vampire bats,NA et al.,,1988,,654,NA et al. 1988 ,CAB,,,,
"necrotizing ventriculitis in fledgling chimney swifts (chaetura pelagica) associated with a novel adenovirus, chimney swift adenovirus-1 (csadv-1)",Needle et al.,Veterinary Pathology,2019,10.1177/0300985819861717,655,Needle et al. 2019 Veterinary Pathology,WOS,,,,
neotropical bats from costa rica harbour diverse coronaviruses,Moreira-soto et al.,Zoonoses Public Health,2015,10.1111/zph.12181,656,Moreira-soto et al. 2015 Zoonoses Public Health,PubMed,,,,
neuropsychological assessment of an aging population of great lakes fisheaters,Schantz et al.,Toxicology and Industrial Health,1996,10.1177/074823379601200312,657,Schantz et al. 1996 Toxicology and Industrial Health,WOS,,,,
"new alphacoronavirus in mystacina tuberculata bats, new zealand",Hall et al.,Emerg Infect Dis,2014,10.3201/eid2004.131441,658,Hall et al. 2014 Emerg Infect Dis,PubMed,,,,
new and emerging diseases,Webber,,2016,,659,Webber 2016 ,CAB,,,,
"newly emerged porcine enteric alphacoronavirus in southern china: identification, origin and evolutionary history analysis",Fu et al.,Infect Genet Evol,2018,10.1016/j.meegid.2018.04.031,660,Fu et al. 2018 Infect Genet Evol,PubMed,,,,
next generation sequencing reveals the potential functions of the genes involved in controlling several important commercial traits in peach (prunus persica (l). batsch) fruits,Feng et al.,Journal of Horticultural Science & Biotechnology,2018,10.1080/14620316.2017.1361795,661,Feng et al. 2018 Journal of Horticultural Science & Biotechnology,WOS,,,,
next-generation sequencing of lung cancer egfr exons 18-21 allows effective molecular diagnosis of small routine samples (cytology and biopsy),De biase et al.,Plos One,2013,10.1371/journal.pone.0083607,662,De biase et al. 2013 Plos One,WOS,,,,
"nipah virus infection - zoonosis among wild animals, domestic animals and humans",Kaku,Journal of Disaster Research,2009,,663,Kaku 2009 Journal of Disaster Research,CAB,,,,
nipah virus infection: a growing deadly paramyxovirus and the recent status of potential therapeutics in india,Singh Asheesh & Singh Parul,Journal of Drug Delivery and Therapeutics,2018,10.22270/jddt.v8i4.1739,664,Singh Asheesh & Singh Parul 2018 Journal of Drug Delivery and Therapeutics,CAB,,,,
nipah virus: past outbreaks and future containment,Soman et al.,Viruses,2020,10.3390/v12040465,665,Soman et al. 2020 Viruses,PubMed,,,,
no credible evidence supporting claims of the laboratory engineering of sars-cov-2,Liu et al.,Emerging Microbes and Infections,2020,10.1080/22221751.2020.1733440,666,Liu et al. 2020 Emerging Microbes and Infections,CAB,,,,
no evidence of coronavirus infection by reverse transcriptase-pcr in bats in belgium,Van et al.,J Wildl Dis,2014,10.7589/2013-10-269,667,Van et al. 2014 J Wildl Dis,PubMed,,,,
no safe space: prevalence and distribution of batrachochytrium dendrobatidis in amphibians in a highly-protected landscape,Robinson et al.,Herpetological Conservation and Biology,2018,,668,Robinson et al. 2018 Herpetological Conservation and Biology,WOS,,,,
nocturnal habitat selection of bats using occupancy models,Pauli et al.,Journal of Wildlife Management,2017,10.1002/jwmg.21251,669,Pauli et al. 2017 Journal of Wildlife Management,WOS,,,,
noncovalent association of p-selectin glycoprotein ligand-1 and minimal determinants for binding to p-selectin,Epperson et al.,Journal of Biological Chemistry,2000,10.1074/jbc.275.11.7839,670,Epperson et al. 2000 Journal of Biological Chemistry,WOS,,,,
novel alphacoronaviruses and paramyxoviruses cocirculate with type 1 and severe acute respiratory system (sars)-related betacoronaviruses in synanthropic bats of luxembourg,Pauly et al.,Appl Environ Microbiol,2017,10.1128/AEM.01326-17,671,Pauly et al. 2017 Appl Environ Microbiol,PubMed,,,,
novel bat alphacoronaviruses in southern china support chinese horseshoe bats as an important reservoir for potential novel coronaviruses,Lau et al.,Viruses,2019,10.3390/v11050423,672,Lau et al. 2019 Viruses,PubMed,,,,
novel coronavirus takes flight from bats?,York,Nat Rev Microbiol,2020,10.1038/s41579-020-0336-9,673,York 2020 Nat Rev Microbiol,PubMed,,,,
"novel coronaviruses, astroviruses, adenoviruses and circoviruses in insectivorous bats from northern china",Han et al.,Zoonoses Public Health,2017,10.1111/zph.12358,674,Han et al. 2017 Zoonoses Public Health,PubMed,,,,
novel insights into immune systems of bats,Banerjee et al.,Frontiers in Immunology,2020,10.3389/fimmu.2020.00026,675,Banerjee et al. 2020 Frontiers in Immunology,CAB,,,,
novel management to enhance spider biodiversity in existing grass buffer strips,Blake et al.,Agricultural and Forest Entomology,2013,10.1111/j.1461-9563.2012.00593.x,676,Blake et al. 2013 Agricultural and Forest Entomology,WOS,,,,
"novel sars-like betacoronaviruses in bats, china, 2011",Yang et al.,Emerg Infect Dis,2013,10.3201/eid1906.121648,677,Yang et al. 2013 Emerg Infect Dis,PubMed,,,,
"observations on the pineal-gland of the big brown bat, eptesicus-fuscus - possible correlation of melanin intensification with constant darkness",Bhatnagar & Hilton,Anatomical Record,1994,10.1002/ar.1092400309,678,Bhatnagar & Hilton 1994 Anatomical Record,WOS,,,,
occurrence and characteristics of infectious diseases in members of the chiroptera order,Hájková,,2007,,679,Hájková 2007 ,CAB,,,,
occurrence and molecular characterization of coronavirus and group a rotavirus in chiropterans of são paulo state,Asano,,2014,,680,Asano 2014 ,CAB,,,,
occurrence of diapause in neotropical parasitoids attacking anastrepha fraterculus (diptera: tephritidae) in a subtropical rainforest from argentina,Ovruski et al.,Austral Entomology,2016,10.1111/aen.12179,681,Ovruski et al. 2016 Austral Entomology,WOS,,,,
odorant-induced responses recorded from olfactory receptor neurons using the suction pipette technique,Saidu et al.,Jove-journal of Visualized Experiments,2012,10.3791/3862,682,Saidu et al. 2012 Jove-journal of Visualized Experiments,WOS,,,,
on the coronaviruses and their associations with the aquatic environment and wastewater,Wartecki & Rzymski,Water,2020,10.3390/w12061598,683,Wartecki & Rzymski 2020 Water,WOS,,,,
one health proof of concept: bringing a transdisciplinary approach to surveillance for zoonotic viruses at the human-wild animal interface,Kelly et al.,Preventive Veterinary Medicine,2017,10.1016/j.prevetmed.2016.11.023,684,Kelly et al. 2017 Preventive Veterinary Medicine,WOS,,,,
"one health, emerging infectious diseases and wildlife: two decades of progress?",Cunningham et al.,Philosophical Transactions of The Royal Society B-biological Sciences,2017,10.1098/rstb.2016.0167,685,Cunningham et al. 2017 Philosophical Transactions of The Royal Society B-biological Sciences,WOS,,,,
optimal water depth management on river-fed national wildlife refuges in a changing climate,Nicol et al.,Climatic Change,2014,10.1007/s10584-013-1033-8,686,Nicol et al. 2014 Climatic Change,WOS,,,,
oral vaccination of foxes against rabies in the republic of croatia - how successful have we been so far?,Vodopija et al.,Croatian Journal of Infection,2016,,687,Vodopija et al. 2016 Croatian Journal of Infection,CAB,,,,
orf8-related genetic evidence for chinese horseshoe bats as the source of human severe acute respiratory syndrome coronavirus,Wu et al.,J Infect Dis,2016,10.1093/infdis/jiv476,688,Wu et al. 2016 J Infect Dis,PubMed,,,,
oriented immobilization of the tobacco etch virus protease for the cleavage of fusion proteins,Miladi et al.,Journal of Biotechnology,2012,10.1016/j.jbiotec.2012.01.010,689,Miladi et al. 2012 Journal of Biotechnology,WOS,,,,
origin and cross-species transmission of bat coronaviruses in china,Latinne et al.,Nat Commun,2020,10.1038/s41467-020-17687-3,690,Latinne et al. 2020 Nat Commun,PubMed,,,,
origin and evolution of pathogenic coronaviruses,Cui et al.,Nat Rev Microbiol,2019,10.1038/s41579-018-0118-9,691,Cui et al. 2019 Nat Rev Microbiol,PubMed,,,,
"origin, evolution, and genotyping of emergent porcine epidemic diarrhea virus strains in the united states",Huang et al.,Mbio,2013,10.1128/mBio.00737-13,692,Huang et al. 2013 Mbio,PubMed,,,,
overselling wildlife trade bans will not bolster conservation or pandemic preparedness,Eskew & Carlson,Lancet Planetary Health,2020,10.1016/S2542-5196(20)30123-6,693,Eskew & Carlson 2020 Lancet Planetary Health,WOS,,,,
"palaeoecological evidence for the middle and late holocene vegetation, climate and land use in the upper don river basin (russia)",Novenko et al.,Vegetation History and Archaeobotany,2012,10.1007/s00334-011-0339-6,694,Novenko et al. 2012 Vegetation History and Archaeobotany,WOS,,,,
"paleoparasitological analysis of the extinct myotragus balearicus bate 1909 (artiodactyla, caprinae) from mallorca (balearic islands, western mediterranean)",Nunes et al.,Parasitology International,2017,10.1016/j.parint.2016.11.009,695,Nunes et al. 2017 Parasitology International,CAB,,,,
"papers from the insect physiology sessions of the 2005 annual meeting of the society for experimental biology, barcelona, spain, 2005",Reynolds et al.,,2006,10.1016/j.jinsphys.2006.02.008,696,Reynolds et al. 2006 ,CAB,,,,
pathways of cross-species transmission of synthetically reconstructed zoonotic severe acute respiratory syndrome coronavirus,Sheahan et al.,J Virol,2008,10.1128/JVI.00818-08,697,Sheahan et al. 2008 J Virol,PubMed,,,,
patterns of species co-occurrence and density compensation: a test for interspecific competition in bat ectoparasite infracommunities,Tello et al.,Oikos,2008,10.1111/j.0030-1299.2008.16212.x,698,Tello et al. 2008 Oikos,CAB,,,,
