"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"2:324","mers: emergence of a novel human coronavirus","Raj et al.","Curr Opin Virol",2014,"10.1016/j.coviro.2014.01.010",612,"Raj et al. 2014 Curr Opin Virol","PubMed","","","",""
"1:95","mesozoic subsidence and stretching models of the lithosphere in switzerland (jura, swiss plateau and helvetic realm)","Loup","Eclogae Geologicae Helvetiae",1992,"",613,"Loup 1992 Eclogae Geologicae Helvetiae","WOS","","","",""
"2:419","metagenomic analysis of the viromes of three north american bat species: viral diversity among different bat species that share a common habitat","Donaldson et al.","J Virol",2010,"10.1128/JVI.01255-10",614,"Donaldson et al. 2010 J Virol","PubMed","","","",""
"2:430","metagenomic analysis of viruses from bat fecal samples reveals many novel viruses in insectivorous bats in china","Ge et al.","J Virol",2012,"10.1128/JVI.06671-11",615,"Ge et al. 2012 J Virol","PubMed","","","",""
"1:46","metagenomic study of the viruses of african straw-coloured fruit bats: detection of a chiropteran poxvirus and isolation of a novel adenovirus","Baker et al.","Virology",2013,"10.1016/j.virol.2013.03.014",616,"Baker et al. 2013 Virology","WOS","","","",""
"1:139","microhabitat use by larvae and females of a rare barrens butterfly, frosted elfin (callophrys irus)","Albanese et al.","Journal of Insect Conservation",2008,"10.1007/s10841-007-9097-2",617,"Albanese et al. 2008 Journal of Insect Conservation","WOS","","","",""
"3:165","middle east respiratory syndrome (mers) - an emerging coronavirus zoonosis","Glin´ski & Chemin´ski","Zycie Weterynaryjne",2014,"",618,"Glin´ski & Chemin´ski 2014 Zycie Weterynaryjne","CAB","","","",""
"3:130","middle east respiratory syndrome (mers) coronavirus","Matsuyama","Journal of Veterinary Epidemiology",2013,"",619,"Matsuyama 2013 Journal of Veterinary Epidemiology","CAB","","","",""
"2:339","middle east respiratory syndrome (mers): bats or dromedary, which of them is responsible?","Chastel","Bull Soc Pathol Exot",2014,"10.1007/s13149-014-0333-1",620,"Chastel 2014 Bull Soc Pathol Exot","PubMed","","","",""
"2:202","middle east respiratory syndrome coronavirus (mers-cov) infection","Almaghrabi & Omrani","Br J Hosp Med (lond)",2017,"10.12968/hmed.2017.78.1.23",621,"Almaghrabi & Omrani 2017 Br J Hosp Med (lond)","PubMed","","","",""
"2:64","middle east respiratory syndrome coronavirus (mers-cov) origin and animal reservoir","Mohd et al.","Virol J",2016,"10.1186/s12985-016-0544-0",622,"Mohd et al. 2016 Virol J","PubMed","","","",""
"2:74","middle east respiratory syndrome coronavirus (mers-cov): animal to human interaction","Omrani et al.","Pathog Glob Health",2015,"10.1080/20477724.2015.1122852",623,"Omrani et al. 2015 Pathog Glob Health","PubMed","","","",""
"2:75","middle east respiratory syndrome coronavirus (mers-cov): evidence and speculations","Abdel-moneim","Arch Virol",2014,"10.1007/s00705-014-1995-5",624,"Abdel-moneim 2014 Arch Virol","PubMed","","","",""
"2:28","middle east respiratory syndrome coronavirus and bat coronavirus hku9 both can utilize grp78 for attachment onto host cells","Chu et al.","J Biol Chem",2018,"10.1074/jbc.RA118.001897",625,"Chu et al. 2018 J Biol Chem","PubMed","","","",""
"2:436","middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,"10.3201/eid1911.131172",626,"Memish et al. 2013 Emerg Infect Dis","PubMed","","","",""
"2:150","middle east respiratory syndrome coronavirus ns4b protein inhibits host rnase l activation","Thornbrough et al.","Mbio",2016,"10.1128/mBio.00258-16",627,"Thornbrough et al. 2016 Mbio","PubMed","","","",""
"2:198","middle east respiratory syndrome coronavirus: a comprehensive review","Shehata et al.","Front Med",2016,"10.1007/s11684-016-0430-6",628,"Shehata et al. 2016 Front Med","PubMed","","","",""
"1:6","middle east respiratory syndrome coronavirus: another zoonotic betacoronavirus causing sars-like disease","Chan et al.","Clinical Microbiology Reviews",2015,"10.1128/CMR.00102-14",629,"Chan et al. 2015 Clinical Microbiology Reviews","WOS","","","",""
"2:257","middle east respiratory syndrome: an emerging coronavirus infection tracked by the crowd","Mackay & Arden","Virus Res",2015,"10.1016/j.virusres.2015.01.021",630,"Mackay & Arden 2015 Virus Res","PubMed","","","",""
"2:138","middle east respiratory syndrome: emergence of a pathogenic human coronavirus","Fehr et al.","Annu Rev Med",2017,"10.1146/annurev-med-051215-031152",631,"Fehr et al. 2017 Annu Rev Med","PubMed","","","",""
"3:339","mites (acari)","Bates","",2012,"10.1079/9781845936648.0015",632,"Bates 2012 ","CAB","","","",""
"1:47","modeling of the interactions between forest vegetation, disturbances, and sediment yields","Istanbulluoglu et al.","Journal of Geophysical Research-earth Surface",2004,"10.1029/2003JF000041",633,"Istanbulluoglu et al. 2004 Journal of Geophysical Research-earth Surface","WOS","","","",""
"1:157","modeling the dynamics of novel coronavirus (2019-ncov) with fractional derivative","Khan & Atangana","Alexandria Engineering Journal",2020,"10.1016/j.aej.2020.02.033",634,"Khan & Atangana 2020 Alexandria Engineering Journal","WOS","","","",""
"3:85","modelling scenarios of the epidemic of covid-19 in canada","Ogden et al.","Canada Communicable Disease Report",2020,"",635,"Ogden et al. 2020 Canada Communicable Disease Report","CAB","","","",""
"2:54","molecular aspects of mers-cov","Rabaan et al.","Front Med",2017,"10.1007/s11684-017-0521-z",636,"Rabaan et al. 2017 Front Med","PubMed","","","",""
"2:192","molecular basis of binding between middle east respiratory syndrome coronavirus and cd26 from seven bat species","Yuan et al.","J Virol",2020,"10.1128/JVI.01387-19",637,"Yuan et al. 2020 J Virol","PubMed","","","",""
"1:222","molecular characterisation of the national collection of swiss cherry cultivars","Frei et al.","Journal of Horticultural Science & Biotechnology",2010,"10.1080/14620316.2010.11512668",638,"Frei et al. 2010 Journal of Horticultural Science & Biotechnology","WOS","","","",""
"1:256","molecular characterization of rig-i, stat-1 and ifn-beta in the horseshoe bat","Li et al.","Gene",2015,"10.1016/j.gene.2015.02.013",639,"Li et al. 2015 Gene","WOS","","","",""
"2:388","molecular conservation and differential mutation on orf3a gene in indian sars-cov2 genomes","Hassan et al.","Genomics",2020,"10.1016/j.ygeno.2020.06.016",640,"Hassan et al. 2020 Genomics","PubMed","","","",""
"2:396","molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,"10.1007/s12250-016-3930-2",641,"Waruhiu et al. 2017 Virol Sin","PubMed","","","",""
"2:299","molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,"10.1016/j.virol.2006.02.041",642,"Woo et al. 2006 Virology","PubMed","","","",""
"2:15","molecular epidemiology, evolution and phylogeny of sars coronavirus","Luk et al.","Infect Genet Evol",2019,"10.1016/j.meegid.2019.03.001",643,"Luk et al. 2019 Infect Genet Evol","PubMed","","","",""
"2:137","molecular identification of betacoronavirus in bats from sardinia (italy): first detection and phylogeny","Lecis et al.","Virus Genes",2019,"10.1007/s11262-018-1614-8",644,"Lecis et al. 2019 Virus Genes","PubMed","","","",""
"2:240","molecular surveillance of traditional and emerging pathogens associated with canine infectious respiratory disease","Decaro et al.","Vet Microbiol",2016,"10.1016/j.vetmic.2016.06.009",645,"Decaro et al. 2016 Vet Microbiol","PubMed","","","",""
"2:362","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,"10.1089/vbz.2014.1637",646,"Kemenesi et al. 2014 Vector Borne Zoonotic Dis","PubMed","","","",""
"1:164","more invaders do not result in heavier impacts: the effects of non-native bullfrogs on native anurans are mitigated by high densities of non-native crayfish","Liu et al.","Journal of Animal Ecology",2018,"10.1111/1365-2656.12793",647,"Liu et al. 2018 Journal of Animal Ecology","WOS","","","",""
"1:163","more novel hantaviruses and diversifying reservoir hosts time for development of reservoir-derived cell culture models?","Eckerle et al.","Viruses-basel",2014,"10.3390/v6030951",648,"Eckerle et al. 2014 Viruses-basel","WOS","","","",""
"1:332","movement responses of common noctule bats to the illuminated urban landscape","Voigt et al.","Landscape Ecology",2020,"10.1007/s10980-019-00942-4",649,"Voigt et al. 2020 Landscape Ecology","WOS","","","",""
"1:295","muc5b is mainly expressed and sialylated in the nasal olfactory epithelium whereas muc5ac is exclusively expressed and fucosylated in the nasal respiratory epithelium","Amini et al.","Histochemistry and Cell Biology",2019,"10.1007/s00418-019-01785-5",650,"Amini et al. 2019 Histochemistry and Cell Biology","WOS","","","",""
"1:375","multi-scale assessment of male northern yellow bat roost selection","Castleberry et al.","Journal of Wildlife Management",2020,"10.1002/jwmg.21843",651,"Castleberry et al. 2020 Journal of Wildlife Management","WOS","","","",""
"1:130","murine coronavirus ubiquitin-like domain is important for papain-like protease stability and viral pathogenesis","Mielech et al.","Journal of Virology",2015,"10.1128/JVI.00338-15",652,"Mielech et al. 2015 Journal of Virology","WOS","","","",""
"2:160","mutation patterns of human sars-cov-2 and bat ratg13 coronavirus genomes are strongly biased towards c>u transitions, indicating rapid evolution in their hosts","Matyášek & Kovařík","Genes (basel)",2020,"10.3390/genes11070761",653,"Matyášek & Kovařík 2020 Genes (basel)","PubMed","","","",""
"3:262","natural history of vampire bats","NA et al.","",1988,"",654,"NA et al. 1988 ","CAB","","","",""
"1:274","necrotizing ventriculitis in fledgling chimney swifts (chaetura pelagica) associated with a novel adenovirus, chimney swift adenovirus-1 (csadv-1)","Needle et al.","Veterinary Pathology",2019,"10.1177/0300985819861717",655,"Needle et al. 2019 Veterinary Pathology","WOS","","","",""
"2:298","neotropical bats from costa rica harbour diverse coronaviruses","Moreira-soto et al.","Zoonoses Public Health",2015,"10.1111/zph.12181",656,"Moreira-soto et al. 2015 Zoonoses Public Health","PubMed","","","",""
"1:91","neuropsychological assessment of an aging population of great lakes fisheaters","Schantz et al.","Toxicology and Industrial Health",1996,"10.1177/074823379601200312",657,"Schantz et al. 1996 Toxicology and Industrial Health","WOS","","","",""
"2:465","new alphacoronavirus in mystacina tuberculata bats, new zealand","Hall et al.","Emerg Infect Dis",2014,"10.3201/eid2004.131441",658,"Hall et al. 2014 Emerg Infect Dis","PubMed","","","",""
"3:233","new and emerging diseases","Webber","",2016,"",659,"Webber 2016 ","CAB","","","",""
"2:295","newly emerged porcine enteric alphacoronavirus in southern china: identification, origin and evolutionary history analysis","Fu et al.","Infect Genet Evol",2018,"10.1016/j.meegid.2018.04.031",660,"Fu et al. 2018 Infect Genet Evol","PubMed","","","",""
"1:300","next generation sequencing reveals the potential functions of the genes involved in controlling several important commercial traits in peach (prunus persica (l). batsch) fruits","Feng et al.","Journal of Horticultural Science & Biotechnology",2018,"10.1080/14620316.2017.1361795",661,"Feng et al. 2018 Journal of Horticultural Science & Biotechnology","WOS","","","",""
"1:65","next-generation sequencing of lung cancer egfr exons 18-21 allows effective molecular diagnosis of small routine samples (cytology and biopsy)","De biase et al.","Plos One",2013,"10.1371/journal.pone.0083607",662,"De biase et al. 2013 Plos One","WOS","","","",""
"3:263","nipah virus infection - zoonosis among wild animals, domestic animals and humans","Kaku","Journal of Disaster Research",2009,"",663,"Kaku 2009 Journal of Disaster Research","CAB","","","",""
"3:253","nipah virus infection: a growing deadly paramyxovirus and the recent status of potential therapeutics in india","Singh Asheesh & Singh Parul","Journal of Drug Delivery and Therapeutics",2018,"10.22270/jddt.v8i4.1739",664,"Singh Asheesh & Singh Parul 2018 Journal of Drug Delivery and Therapeutics","CAB","","","",""
"2:294","nipah virus: past outbreaks and future containment","Soman et al.","Viruses",2020,"10.3390/v12040465",665,"Soman et al. 2020 Viruses","PubMed","","","",""
"3:65","no credible evidence supporting claims of the laboratory engineering of sars-cov-2","Liu et al.","Emerging Microbes and Infections",2020,"10.1080/22221751.2020.1733440",666,"Liu et al. 2020 Emerging Microbes and Infections","CAB","","","",""
"2:452","no evidence of coronavirus infection by reverse transcriptase-pcr in bats in belgium","Van et al.","J Wildl Dis",2014,"10.7589/2013-10-269",667,"Van et al. 2014 J Wildl Dis","PubMed","","","",""
"1:394","no safe space: prevalence and distribution of batrachochytrium dendrobatidis in amphibians in a highly-protected landscape","Robinson et al.","Herpetological Conservation and Biology",2018,"",668,"Robinson et al. 2018 Herpetological Conservation and Biology","WOS","","","",""
"1:283","nocturnal habitat selection of bats using occupancy models","Pauli et al.","Journal of Wildlife Management",2017,"10.1002/jwmg.21251",669,"Pauli et al. 2017 Journal of Wildlife Management","WOS","","","",""
"1:53","noncovalent association of p-selectin glycoprotein ligand-1 and minimal determinants for binding to p-selectin","Epperson et al.","Journal of Biological Chemistry",2000,"10.1074/jbc.275.11.7839",670,"Epperson et al. 2000 Journal of Biological Chemistry","WOS","","","",""
"2:342","novel alphacoronaviruses and paramyxoviruses cocirculate with type 1 and severe acute respiratory system (sars)-related betacoronaviruses in synanthropic bats of luxembourg","Pauly et al.","Appl Environ Microbiol",2017,"10.1128/AEM.01326-17",671,"Pauly et al. 2017 Appl Environ Microbiol","PubMed","","","",""
"2:180","novel bat alphacoronaviruses in southern china support chinese horseshoe bats as an important reservoir for potential novel coronaviruses","Lau et al.","Viruses",2019,"10.3390/v11050423",672,"Lau et al. 2019 Viruses","PubMed","","","",""
